,oid,meanra,meandec,firstmjd,ndet,probability,class_name,classifier_name,drb,fid,mjd,magpsf,sigmapsf,has_stamp,sgscore1,distpsnr1,event_id,oid_y,ecl_lat,gal_lat,gal_A_g,stellar,agn,z,agnsep,mjd_obs
14,ZTF23absdwlp,159.95131404000009,2.5227408299999996,60966.52781250002,10,0.6891319,AGN,stamp_classifier,0.99996066,2,60966.52781250002,19.437815,0.15616581,True,0.343318,0.19375467,S250927cy,5,-5.500210077044979,50.043225791637134,0.13599094759176356,False,SDSS J103948.31+023121.9,0.354,2.309249046589803e-05,60945.72964917844
15,ZTF25abjmryz,239.34541172608064,41.3573829435962,61054.52003470017,8,0.69477,SN,stamp_classifier,0.9988867,1,61058.54839120014,20.411842,0.17661713,True,0.021875,0.24235359,S250927cy,6,59.66404759033897,49.57467354366713,0.05954080736419182,False,SDSS J155722.89+412126.4,0.612,1.911388011092182e-05,60945.72964917844
16,ZTF25acdqhgx,198.5760309146336,35.45358349548787,61002.53538190015,10,0.5347157,AGN,stamp_classifier,0.999997,1,61002.53538190015,19.354939,0.20090804,True,1.0,1.1091973,S250927cy,8,39.449740992764916,80.35216570649368,0.03802068349551619,False,SDSS J131418.21+352712.1,1.461,0.0002156037832507652,60945.72964917844
17,ZTF25acfodwf,203.51609834687636,37.01781251840026,61009.51324070012,6,0.5156192,AGN,stamp_classifier,0.9995681,1,61009.51324070012,19.840471,0.18407018,True,0.996875,1.1387535,S250927cy,9,42.77402496347185,76.62695893894225,0.03220283952918965,False,FBQS J133403.8+370104,1.779,0.00010275091519655097,60945.72964917844
18,ZTF25achkyoq,200.07618665582487,28.251852190754907,61002.533969900105,14,0.58453035,SN,stamp_classifier,0.9999967,1,61024.49946760014,20.166245,0.20223653,True,0.0015,0.4236182,S250927cy,10,33.68091737684173,83.51284461922155,0.06406164209709297,False,SDSS J132018.26+281506.6,0.293,7.141206595198464e-05,60945.72964917844
19,ZTF25acjejix,168.25345089529262,14.48642201620229,61038.4989120001,19,0.6236545,AGN,stamp_classifier,0.99986273,2,61058.352661999874,20.035973,0.19875701,True,0.173807,0.3999378,S250927cy,11,8.690834766718067,63.83253377909692,0.08023706385217884,False,SDSS J111300.80+142911.0,0.299,7.862608819414825e-05,60945.72964917844
20,ZTF25ackbmiu,228.9379577,48.9135392,61030.53174770018,1,0.7329175,SN,stamp_classifier,0.99880743,2,61030.53174770018,20.391306,0.20411792,True,0.385479,0.23880693,S250927cy,12,62.70187602224313,54.7264534117262,0.0600897930378809,False,SDSS J151545.07+485448.7,1.214,9.358841713370465e-05,60945.72964917844
21,ZTF26aaauttj,179.49059679999405,29.7451855,61050.45458329981,5,0.62807494,AGN,stamp_classifier,0.9998511,1,61056.56515049981,19.903833,0.2088766,True,0.880271,1.1371708,S250927cy,13,26.880571127204842,77.96421011991073,0.06444248031577247,False,SDSS J115757.68+294442.2,0.318,0.00027173370952787034,60945.72964917844
22,ZTF26aabxtqb,193.28591145036515,38.468096938522926,61027.49969909992,8,0.61843437,AGN,stamp_classifier,0.8126764,1,61057.44944440015,19.922186,0.20466803,True,0.992458,1.4789121,S250927cy,14,39.96493100479401,78.65453077640038,0.07280730360093117,False,SDSS J125308.55+382805.2,2.303,0.0002084909044111251,60945.72964917844
23,ZTF26aadebnp,205.11309843140666,33.179621625367844,61037.54922450008,7,0.5066716,SN,stamp_classifier,0.97440314,2,61060.46578700002,20.339054,0.2160835,True,0.105077,0.59621954,S250927cy,15,40.045900132862265,77.81131758341125,0.047071735337603005,False,DESI 39632946117738940,0.708,0.00014094840399346643,60945.72964917844
